,"Fit time, s","Score time, s",Regressor,R2 on test,MAE on test
0,186.9634885787964,0.46080970764160156,MyBaggingRegressor,0.9981096760139795,0.4759356199809444
1,186.56812930107117,0.47616028785705566,MyBaggingRegressor,0.9982742933404595,0.46267143051585663
2,189.20999264717102,0.6153922080993652,MyBaggingRegressor,0.9982292865543744,0.46099224173131864
3,189.30493593215942,0.3974742889404297,MyBaggingRegressor,0.9982434267548318,0.45950871222434
4,74.3963737487793,0.12021541595458984,MyBaggingRegressor,0.9980960287524644,0.4692647699428263
0,128.0918288230896,0.14388680458068848,BaggingRegressor,0.9980715829252508,0.47901020824826473
1,129.91703701019287,0.3339195251464844,BaggingRegressor,0.9981964125513184,0.4676029671974955
2,129.26740264892578,0.319441556930542,BaggingRegressor,0.9982111720758549,0.46371144684905413
3,128.76983380317688,0.20718932151794434,BaggingRegressor,0.9982235914506846,0.46337680370269557
4,52.53215217590332,0.10308051109313965,BaggingRegressor,0.9981026289470687,0.46636741083582894
0,118.62065410614014,0.13653802871704102,RandomForestRegressor,0.9980850164524647,0.4767597658908395
1,119.01098489761353,0.12171816825866699,RandomForestRegressor,0.998184683548219,0.46791193684497084
2,119.93313694000244,0.1665966510772705,RandomForestRegressor,0.998186836358202,0.4665237511909623
3,118.63035416603088,0.11270284652709961,RandomForestRegressor,0.99821917962524,0.4639217261094473
4,35.787524938583374,0.03776979446411133,RandomForestRegressor,0.9981106350532355,0.46608263000272254
